accession,normalization,neighbors,0,1,cluster,protein
>MF146479,l2,10,-0.6907047,0.72313696,58,H13
>MF146534,l2,10,-0.68486756,0.7286675,58,H13
>MF147740,l2,10,-0.69180405,0.7220853,58,H13
>MF146435,l2,10,-0.685472,0.728099,58,H13
>KX979088,l2,10,-0.6838046,0.7296653,58,H13
>MF147719,l2,10,-0.691303,0.72256505,58,H13
>MF147553,l2,10,-0.67947716,0.7336967,58,H13
>MF146833,l2,10,-0.67974883,0.733445,58,H13
>MF148122,l2,10,-0.6311962,-0.7756232,47,H13
>MF145916,l2,10,-0.96739,-0.25329146,47,H13
>KX979541,l2,10,0.70865434,0.7055558,238,H13
>KX978398,l2,10,0.7402532,0.6723282,88,H16
>MF146523,l2,10,-0.67883086,0.7342947,58,H13
>MF147007,l2,10,-0.95181996,0.30665752,51,H13
>MF145735,l2,10,-0.6862706,0.7273463,58,H13
>MF147558,l2,10,-0.19796163,0.98020977,51,H13
>KX977630,l2,10,-0.19468147,0.98086655,51,H13
>MF146431,l2,10,-0.6893857,0.72439444,58,H13
>MF146500,l2,10,-0.19504277,0.9807947,51,H13
>MF147405,l2,10,-0.680857,0.73241645,58,H13
>MF146583,l2,10,-0.20014356,0.9797666,51,H13
>MF145859,l2,10,-0.6365377,-0.7712456,47,H13
>KX978997,l2,10,0.9721424,-0.23439093,215,H16
>KX977766,l2,10,0.9725184,-0.23282607,215,H16
>MF147101,l2,10,-0.6906955,0.7231458,58,H13
>MF147981,l2,10,-0.76770973,0.64079773,47,H13
>MF146410,l2,10,0.97168034,-0.23629944,215,H16
>MF147814,l2,10,-0.682666,0.7307306,58,H13
>KX978686,l2,10,-0.7612409,0.6484691,47,H13
>KX978083,l2,10,0.7160807,0.6980174,88,H16
>MF575214,l2,10,0.7407482,0.6717827,88,H16
>MF145897,l2,10,-0.6841301,0.72936,58,H13
>MF146531,l2,10,-0.7639357,0.6452923,47,H13
>MF146229,l2,10,-0.63639045,-0.77136713,47,H13
>KX978076,l2,10,0.7015762,0.7125945,238,H13
>MF147189,l2,10,-0.68204635,0.731309,58,H13
>KX979090,l2,10,-0.7680653,0.64037144,47,H13
>KX978980,l2,10,0.70629203,0.7079205,238,H13
>MF147647,l2,10,-0.9518975,0.30641675,51,H13
>MF146608,l2,10,0.997308,-0.073326394,215,H16
>MF146148,l2,10,0.97181773,-0.23573358,215,H16
>MF148130,l2,10,-0.6882252,0.725497,58,H13
>KX979063,l2,10,0.71445996,0.69967633,238,H13
>MF147797,l2,10,-0.9652949,-0.2611624,47,H13
>MF146087,l2,10,-0.8072016,-0.5902759,238,H13
>KX977772,l2,10,-0.19859536,0.98008156,51,H13
>MF694026,l2,10,0.059557956,-0.99822485,47,H13
>MF682696,l2,10,-0.9740903,-0.22615957,47,H13
>MF146063,l2,10,-0.680698,0.73256415,58,H13
>MF959992,l2,10,0.7161086,0.6979888,88,H16
>MF147878,l2,10,-0.6812082,0.73208976,58,H13
>KX978709,l2,10,0.9713178,-0.23778492,215,H16
>MF575026,l2,10,0.7407044,0.6718311,88,H16
>MF145799,l2,10,-0.95156133,0.30745882,51,H13
>MF146268,l2,10,0.9715219,-0.23694943,215,H16
>KX977887,l2,10,-0.689479,0.7243057,58,H13
>KX978812,l2,10,0.75355417,-0.65738577,47,H13
>MF147255,l2,10,-0.3575528,-0.93389297,47,H13
>MF103719,l2,10,0.7160087,0.69809145,88,H16
>MF147679,l2,10,-0.6883947,0.7253363,58,H13
>MF147919,l2,10,0.7543778,-0.6564405,47,H13
>MF147715,l2,10,0.71605116,0.6980478,88,H16
>KX977702,l2,10,-0.69306195,0.720878,58,H13
>KX978026,l2,10,0.7525987,-0.6584795,47,H13
>MF147314,l2,10,0.5593941,0.82890177,88,H16
>MF146397,l2,10,0.9718958,-0.23541132,215,H16
>MF147342,l2,10,-0.9520062,0.30607873,51,H13
>KX978072,l2,10,-0.36379665,0.9314784,47,H13
>MF146654,l2,10,0.5653154,0.8248749,88,H16
>KX978876,l2,10,0.70826644,0.70594513,238,H13
>MF146675,l2,10,0.7405643,0.67198557,88,H16
>MF146953,l2,10,-0.9526546,0.30405456,51,H13
>MF146238,l2,10,0.56097966,0.8278296,88,H16
>KX977785,l2,10,0.7161118,0.69798565,88,H16
>MF146920,l2,10,0.740369,0.67220074,88,H16
>MF147705,l2,10,-0.1967001,0.98046374,51,H13
>KX979165,l2,10,-0.76285565,0.6465688,47,H13
>MF146193,l2,10,0.5624086,0.8268595,88,H16
>KX979544,l2,10,0.703235,0.71095747,238,H13
>KX979432,l2,10,0.7404549,0.672106,88,H16
>MF146506,l2,10,-0.68392974,0.72954786,58,H13
>KX978504,l2,10,-0.7662786,0.64250845,47,H13
>MF682763,l2,10,0.7165731,0.697512,88,H16
>MF146414,l2,10,-0.9676792,-0.25218436,47,H13
>KX978612,l2,10,0.9969792,-0.077668905,215,H16
>MF146473,l2,10,-0.9521589,0.30560333,51,H13
>KX977620,l2,10,-0.36379454,0.9314792,47,H13
>MF694124,l2,10,0.71592283,0.6981794,88,H16
>MF146174,l2,10,-0.63723105,-0.7706728,47,H13
>MF145738,l2,10,0.74075186,0.67177874,88,H16
>MF146800,l2,10,-0.6913145,0.72255385,58,H13
>MF682757,l2,10,-0.3628752,-0.9318378,47,H13
>KX979380,l2,10,0.6980082,0.71608984,238,H13
>MF147961,l2,10,0.74074215,0.67178947,88,H16
>MF147302,l2,10,-0.19766502,0.9802697,51,H13
>MF575089,l2,10,-0.7657014,0.6431961,47,H13
>MF682685,l2,10,0.560977,0.8278314,88,H16
>MF682661,l2,10,-0.63574815,-0.7718965,47,H13
>KX979111,l2,10,0.99666816,-0.081563435,215,H16
>MF146858,l2,10,-0.19708166,0.9803871,51,H13
>KX978441,l2,10,-0.7655074,0.6434271,47,H13
>MF148040,l2,10,0.5641096,0.8256999,88,H16
>KX978020,l2,10,-0.97595483,-0.21797313,47,H13
>MF146352,l2,10,0.74072635,0.6718069,88,H16
>KX979200,l2,10,-0.69276226,0.7211661,58,H13
>MF575196,l2,10,-0.76480794,0.6442584,47,H13
>MF682843,l2,10,-0.36359614,-0.93155664,47,H13
>MF682838,l2,10,0.5632414,0.8262924,88,H16
>MF682844,l2,10,0.71062326,0.70357275,238,H13
>MF147682,l2,10,0.7407511,0.6717796,88,H16
>MF146167,l2,10,-0.19656028,0.9804917,51,H13
>MF575309,l2,10,-0.7646953,0.6443921,47,H13
>KX979094,l2,10,0.71592957,0.69817245,88,H16
>MF147197,l2,10,-0.19664533,0.98047465,51,H13
>KX978735,l2,10,-0.7664342,0.64232284,47,H13
>MF147982,l2,10,0.5604003,0.8282219,88,H16
>MF147594,l2,10,-0.97506964,-0.22189903,47,H13
>MF147122,l2,10,-0.68980634,0.7239939,58,H13
>MF575190,l2,10,0.71592,0.6981824,88,H16
>MF146360,l2,10,-0.63696766,-0.77089053,47,H13
>KX978043,l2,10,-0.97588795,-0.21827196,47,H13
>MF146714,l2,10,0.9707764,-0.239986,215,H16
>MF147911,l2,10,-0.687592,0.7260973,58,H13
>MF148148,l2,10,0.75404584,-0.6568217,47,H13
>MF148103,l2,10,-0.9759098,-0.21817419,47,H13
>MF147940,l2,10,-0.6910139,0.72284156,58,H13
>MF148072,l2,10,-0.6347436,-0.77272284,47,H13
>MF147735,l2,10,-0.8033627,-0.59549004,238,H13
>MF146672,l2,10,-0.9272503,0.37444204,51,H13
>KX978929,l2,10,0.71447325,0.6996628,238,H13
>MF146970,l2,10,-0.63636327,-0.77138954,47,H13
>MF959989,l2,10,-0.9672989,-0.25363928,47,H13
>KX977869,l2,10,-0.80514836,-0.5930735,238,H13
>MF146383,l2,10,-0.95163167,0.30724114,51,H13
>MF693939,l2,10,0.7166371,0.6974463,88,H16
>MF146828,l2,10,0.55608296,0.8311268,88,H16
>MF147673,l2,10,-0.9277353,0.37323865,51,H13
>MF146643,l2,10,0.5626044,0.82672626,88,H16
>MF145921,l2,10,-0.9272726,0.37438688,51,H13
>MF145764,l2,10,0.5613832,0.82755595,88,H16
>KX978470,l2,10,-0.9276587,0.37342927,51,H13
>MF147698,l2,10,-0.9279961,0.37258998,51,H13
>MF146202,l2,10,-0.36142036,-0.9324029,47,H13
>MF146594,l2,10,-0.92754114,0.3737211,51,H13
>MF146076,l2,10,0.56024724,0.8283254,88,H16
>MF146496,l2,10,-0.92683446,0.37547034,51,H13
>MF146816,l2,10,0.5598288,0.8286083,88,H16
>MF145843,l2,10,-0.92768,0.3733763,51,H13
>MF146537,l2,10,0.56340146,0.8261833,88,H16
>KX978071,l2,10,-0.92777765,0.37313357,51,H13
>MF147537,l2,10,-0.92801625,0.37253973,51,H13
>MF146211,l2,10,-0.92827106,0.37190437,51,H13
>MF682767,l2,10,0.71653813,0.69754803,88,H16
>MF145989,l2,10,-0.6377272,-0.7702623,47,H13
>MF146421,l2,10,-0.96649885,-0.25667098,47,H13
>MF145955,l2,10,-0.805347,-0.59280366,238,H13
>MF146395,l2,10,-0.6886611,0.7250833,58,H13
>KX978369,l2,10,-0.7633387,0.64599854,47,H13
>MF693921,l2,10,0.71593815,0.6981636,88,H16
>MK192316,l2,10,0.71594125,0.6981605,88,H16
>MF145888,l2,10,0.26534867,0.9641525,88,H16
>MF146634,l2,10,-0.9838703,-0.17888346,51,H13
>MF148145,l2,10,-0.98372,-0.17970775,51,H13
>KX977670,l2,10,-0.9838145,-0.17919034,51,H13
>MF146769,l2,10,0.26783404,0.9634651,88,H16
>MF147610,l2,10,-0.9835409,-0.18068555,51,H13
>MF147728,l2,10,0.56114507,0.82771754,88,H16
>MF145811,l2,10,-0.98367476,-0.17995575,51,H13
>MF147656,l2,10,-0.9897969,0.1424857,55,H13
>MF146014,l2,10,0.55929166,0.82897097,88,H16
>MF147422,l2,10,-0.99021566,0.13954559,55,H13
>MF146085,l2,10,0.26624522,0.9639054,88,H16
>MF147944,l2,10,-0.9900439,0.14075927,55,H13
>MF575228,l2,10,-0.354917,-0.93489784,47,H13
>MF575118,l2,10,0.5653259,0.8248676,88,H16
>MF146043,l2,10,-0.99026346,0.13920538,55,H13
>MF147239,l2,10,0.26562285,0.964077,88,H16
>MF147717,l2,10,-0.99005157,0.14070508,55,H13
>MF575207,l2,10,0.7143014,0.6998382,238,H13
>MF146566,l2,10,-0.63902014,-0.76918995,47,H13
>MF147945,l2,10,-0.97436136,-0.22498885,47,H13
>KX979279,l2,10,-0.80029494,-0.5996066,238,H13
>MF146111,l2,10,0.7403884,0.67217934,88,H16
>MF146975,l2,10,-0.6916045,0.7222765,58,H13
>MF146245,l2,10,0.68130094,-0.73200345,47,H13
>MF694199,l2,10,0.058442876,-0.9982907,47,H13
>MF146436,l2,10,0.26682207,0.9637458,88,H16
>MF147750,l2,10,-0.9905141,0.13741075,55,H13
>MF682709,l2,10,0.2656011,0.964083,88,H16
>MF147841,l2,10,-0.98381895,-0.17916566,51,H13
>MF147547,l2,10,0.5629468,0.82649314,88,H16
>MF146710,l2,10,-0.9896916,0.14321478,55,H13
>KX979453,l2,10,0.5645554,0.82539517,88,H16
>MF146214,l2,10,-0.9838922,-0.17876272,51,H13
>MF147491,l2,10,-0.36213046,-0.9321275,47,H13
>MF147469,l2,10,-0.92775506,0.37318975,51,H13
>MF682781,l2,10,-0.36269167,-0.9319092,47,H13
>KX977811,l2,10,-0.9278826,0.37287238,51,H13
>MF146391,l2,10,-0.3620907,-0.93214285,47,H13
>MF146872,l2,10,-0.9838047,-0.17924383,51,H13
>MF146670,l2,10,-0.36380848,-0.93147385,47,H13
>MF145901,l2,10,-0.98381776,-0.1791719,51,H13
>MF145978,l2,10,-0.36082983,-0.9326317,47,H13
>MF146441,l2,10,-0.98385924,-0.1789442,51,H13
>MF145725,l2,10,0.26686248,0.96373457,88,H16
>KX978831,l2,10,-0.9836178,-0.18026648,51,H13
>KR087564,l2,10,0.71033895,0.7038598,238,H13
>MF147289,l2,10,0.70641774,0.7077952,238,H13
>MF682666,l2,10,-0.8049349,-0.59336317,238,H13
>MF575109,l2,10,0.74043745,0.67212534,88,H16
>MF145876,l2,10,-0.6901549,0.7236616,58,H13
>KX977868,l2,10,0.6910304,-0.7228257,47,H13
>MF147493,l2,10,-0.36379457,0.9314792,47,H13
>MF694207,l2,10,0.059547406,-0.99822545,47,H13
>MF146424,l2,10,-0.3598489,-0.9330106,47,H13
>MF146204,l2,10,-0.927667,0.37340844,51,H13
>MF145709,l2,10,-0.9900539,0.14068809,55,H13
>KX978101,l2,10,-0.9900446,0.14075394,55,H13
>MF682721,l2,10,-0.6334025,-0.7738225,47,H13
>MF682880,l2,10,-0.36265978,-0.9319216,47,H13
>MF147965,l2,10,-0.9902321,0.13942902,55,H13
>MF146501,l2,10,-0.36841685,-0.9296607,47,H13
>MF148047,l2,10,-0.98385847,-0.17894804,51,H13
>MF147192,l2,10,0.56119967,0.82768047,88,H16
>MF147095,l2,10,-0.9902607,0.13922556,55,H13
>MF146737,l2,10,0.5622801,0.82694685,88,H16
>KX978834,l2,10,-0.92770684,0.37330958,51,H13
>MF146931,l2,10,0.26611993,0.9639399,88,H16
>MF146562,l2,10,-0.9899757,0.1412379,55,H13
>MF146836,l2,10,0.56080514,0.8279478,88,H16
>MF146693,l2,10,-0.9902807,0.1390832,55,H13
>MF147849,l2,10,0.26643938,0.9638517,88,H16
>MF147375,l2,10,-0.99026054,0.13922657,55,H13
>MF575016,l2,10,-0.6385456,-0.76958406,47,H13
>MF147869,l2,10,0.7084247,0.70578647,238,H13
>KX979026,l2,10,-0.80182385,-0.5975604,238,H13
>MF146964,l2,10,-0.9522201,0.3054129,51,H13
>MF147858,l2,10,0.6880816,-0.7256334,47,H13
>KX978275,l2,10,0.7477002,-0.6640364,47,H13
>MF693954,l2,10,0.059743408,-0.99821377,47,H13
>MF146060,l2,10,0.26635075,0.9638762,88,H16
>MF147078,l2,10,-0.99022436,0.13948402,55,H13
>KX977730,l2,10,0.5642108,0.82563084,88,H16
>KX977728,l2,10,-0.1958481,0.9806343,51,H13
>MF146767,l2,10,0.56099397,0.8278199,88,H16
>KX979079,l2,10,-0.19383423,0.9810342,51,H13
>KX979576,l2,10,-0.3553549,-0.9347314,47,H13
>KX977618,l2,10,-0.19560793,0.9806822,51,H13
>MF147070,l2,10,0.55935544,0.828928,88,H16
>MF146502,l2,10,-0.19644322,0.98051524,51,H13
>MF146577,l2,10,0.5590859,0.8291097,88,H16
>KX979040,l2,10,-0.9902505,0.13929756,55,H13
>MF145996,l2,10,-0.6211241,-0.7837122,47,H13
>KX979045,l2,10,-0.19836998,0.9801272,51,H13
>MF147363,l2,10,-0.3568799,-0.9341503,47,H13
>KX978218,l2,10,-0.19594419,0.980615,51,H13
>MF148111,l2,10,0.26650852,0.9638326,88,H16
>MF146309,l2,10,-0.9503655,0.31113562,51,H13
>KX978340,l2,10,-0.6362155,-0.77151144,47,H13
>KX978293,l2,10,-0.97543687,-0.2202791,47,H13
>KX978651,l2,10,0.97169536,-0.23623723,215,H16
>MF575308,l2,10,-0.68987495,0.7239286,58,H13
>MF146285,l2,10,0.6912328,-0.72263217,47,H13
>MF694046,l2,10,0.05974589,-0.99821365,47,H13
>MF682647,l2,10,-0.36249083,-0.93198735,47,H13
>MF147768,l2,10,-0.9487478,0.3160343,51,H13
>MF147657,l2,10,0.26653495,0.9638253,88,H16
>MF147484,l2,10,-0.94938207,0.31412348,51,H13
>KX978323,l2,10,0.5646198,0.8253511,88,H16
>KX978027,l2,10,-0.9493943,0.31408668,51,H13
>MF682816,l2,10,-0.19602652,0.9805986,51,H13
>MF146344,l2,10,-0.19573314,0.9806572,51,H13
>MF147573,l2,10,-0.9493638,0.31417885,51,H13
>MF147559,l2,10,-0.94938314,0.31412047,51,H13
>KX979456,l2,10,0.7162013,0.69789374,88,H16
>KX978937,l2,10,-0.9493898,0.3141005,51,H13
>KX978955,l2,10,0.7161974,0.6978978,88,H16
>KX978911,l2,10,-0.19864091,0.9800724,51,H13
>CY185513,l2,10,-0.4721293,0.88152933,47,H13
>CY185569,l2,10,0.677475,0.7355458,238,H13
>CY185529,l2,10,-0.47453544,0.8802364,47,H13
>CY185537,l2,10,-0.4708438,0.8822166,47,H13
>CY185585,l2,10,0.97055846,-0.24086586,215,H16
>CY185553,l2,10,-0.47136712,0.8819371,47,H13
>CY185489,l2,10,0.7186031,0.69542044,238,H13
>CY185657,l2,10,0.7055316,-0.70867854,47,H13
>CY077000,l2,10,-0.7911358,-0.6116406,238,H13
>CY184471,l2,10,-0.7995283,-0.60062844,238,H13
>CY184488,l2,10,-0.8006789,-0.5990938,238,H13
>MF461180,l2,10,0.676911,0.73606485,238,H13
>MF461188,l2,10,-0.4473059,0.89438105,47,H13
>MH201562,l2,10,0.6774819,0.73553944,238,H13
>MH201570,l2,10,-0.44841838,0.89382374,47,H13
>MH498730,l2,10,0.27385646,-0.96177053,47,H13
>MH499037,l2,10,0.42244896,0.90638673,238,H13
>MH498904,l2,10,0.4602047,-0.88781285,215,H16
>CY177441,l2,10,0.9961791,-0.08733379,215,H16
>MH158642,l2,10,0.46394172,-0.88586575,215,H16
>MH894208,l2,10,-0.44759166,0.89423805,47,H13
>LC339627,l2,10,0.71342236,0.7007343,238,H13
>AB937721,l2,10,0.9965656,-0.082806595,215,H16
>LC339707,l2,10,0.97117925,-0.23835005,215,H16
>CY195637,l2,10,0.7172278,0.69683874,238,H13
>AB284988,l2,10,0.71359664,0.7005569,238,H13
>AB285094,l2,10,0.7147217,0.699409,238,H13
>MK627644,l2,10,0.9880159,-0.15435232,215,H16
>MK696134,l2,10,0.73037666,0.68304455,238,H13
>MH499011,l2,10,0.08806529,0.99611473,47,H13
>MH499177,l2,10,0.2733483,-0.96191514,47,H13
>CY176997,l2,10,0.99624765,-0.08654891,215,H16
>MH134833,l2,10,0.46538526,-0.88510823,215,H16
>MH499208,l2,10,0.13825044,0.99039733,47,H13
>MH498711,l2,10,0.27176782,-0.9623629,47,H13
>MH488120,l2,10,0.027511831,0.9996215,47,H13
>MH499005,l2,10,0.2062616,0.9784969,47,H13
>MH498759,l2,10,0.09479686,0.99549663,47,H13
>MH499032,l2,10,0.27380106,-0.9617863,47,H13
>MH498707,l2,10,0.2742089,-0.9616701,47,H13
>MH498866,l2,10,0.027193336,0.9996302,47,H13
>MH499141,l2,10,0.08890916,0.99603975,47,H13
>MH498664,l2,10,0.20613903,0.9785227,47,H13
>MH498977,l2,10,0.13916112,0.9902697,47,H13
>MH498985,l2,10,0.20599978,0.9785521,47,H13
>MH499049,l2,10,0.08922709,0.9960113,47,H13
>MH498694,l2,10,0.20354255,0.9790661,47,H13
>MH498660,l2,10,0.27192268,-0.9623191,47,H13
>MH498719,l2,10,0.11006602,0.9939244,47,H13
>MH499238,l2,10,0.42222464,0.9064913,238,H13
>MH498845,l2,10,0.026813723,0.99964046,47,H13
>MH499112,l2,10,0.027186673,0.99963033,47,H13
>MH498641,l2,10,0.09082161,0.99586725,47,H13
>MH499194,l2,10,0.028824743,0.9995845,47,H13
>MH498654,l2,10,0.027991962,0.99960816,238,H13
>MH499085,l2,10,0.20593004,0.97856677,47,H13
>MH134652,l2,10,0.4615375,-0.88712066,215,H16
>MH596987,l2,10,0.7304656,0.6829495,238,H13
>CY240828,l2,10,0.98015064,-0.19825405,215,H16
>CY240896,l2,10,0.9804385,-0.19682582,215,H16
>CY240948,l2,10,0.9805152,-0.19644308,215,H16
>CY241634,l2,10,0.98053044,-0.19636708,215,H16
>MH346972,l2,10,0.02735093,0.99962586,47,H13
>KR010435,l2,10,0.67743546,0.7355822,238,H13
>KX979488,l2,10,0.99700624,-0.07732159,215,H16
>MF147061,l2,10,0.99725926,-0.07398596,215,H16
>MF693968,l2,10,0.9968062,-0.07985913,215,H16
>MF147450,l2,10,0.99669,-0.08129654,215,H16
>MH134702,l2,10,0.46366706,-0.8860095,215,H16
>MH134685,l2,10,0.4609319,-0.8874355,215,H16
>MH498978,l2,10,0.082216896,0.99661446,47,H13
>MH499057,l2,10,0.083545595,0.9965039,47,H13
>MH498647,l2,10,0.27200058,-0.96229714,47,H13
>MH498793,l2,10,0.08155868,0.9966686,47,H13
>MH498930,l2,10,0.0889028,0.99604034,47,H13
>MH499107,l2,10,0.13767017,0.9904781,47,H13
>MH499041,l2,10,0.08323997,0.9965296,47,H13
>MH499155,l2,10,0.08627805,0.9962711,47,H13
>MH499132,l2,10,0.08024588,0.99677503,47,H13
>MH499078,l2,10,0.11188886,0.9937207,47,H13
>MH499160,l2,10,0.029751508,0.9995573,47,H13
>CY149340,l2,10,0.99667794,-0.08144356,215,H16
>MN210139,l2,10,0.43927342,0.8983534,238,H13
>KY131017,l2,10,-0.2712469,0.9625098,238,H13
>KY131040,l2,10,-0.27118248,0.962528,238,H13
>KY131056,l2,10,-0.26960725,0.9629704,238,H13
>KY131072,l2,10,-0.27754116,0.9607138,238,H13
>KY131080,l2,10,-0.2749109,0.96146965,238,H13
>KY131088,l2,10,0.99686265,-0.07915078,215,H16
>KY131112,l2,10,-0.2718638,0.9623357,238,H13
>KY131120,l2,10,-0.27375197,0.96180034,238,H13
>KY131128,l2,10,-0.26915586,0.9630967,238,H13
>KY131136,l2,10,-0.2722583,0.9622242,238,H13
>KY131144,l2,10,-0.2733373,0.9619183,238,H13
>KT338609,l2,10,0.9970611,-0.0766113,215,H16
>KY131286,l2,10,-0.44801107,0.894028,47,H13
>CY196009,l2,10,0.99656665,-0.082794,215,H16
>CY196403,l2,10,0.9967796,-0.08018905,215,H16
>CY196411,l2,10,0.6635437,-0.74813753,215,H16
>CY196419,l2,10,0.6633213,-0.74833465,215,H16
>CY196427,l2,10,0.6634268,-0.7482412,215,H16
>CY196435,l2,10,0.6631619,-0.748476,215,H16
>CY196443,l2,10,0.66334856,-0.7483105,215,H16
>CY196451,l2,10,0.6631117,-0.74852043,215,H16
>CY196459,l2,10,0.66315997,-0.74847764,215,H16
>CY195614,l2,10,0.6633063,-0.74834806,215,H16
>CY196467,l2,10,0.66319066,-0.7484506,215,H16
>CY196475,l2,10,0.66327673,-0.7483742,215,H16
>CY196483,l2,10,0.9969193,-0.07843462,215,H16
>CY196491,l2,10,0.6632381,-0.7484085,215,H16
>CY196499,l2,10,0.6631084,-0.7485233,215,H16
>CY196507,l2,10,0.66320044,-0.7484419,215,H16
>CY196515,l2,10,0.66329944,-0.7483541,215,H16
>CY196523,l2,10,0.6631642,-0.748474,215,H16
>CY196531,l2,10,0.99697465,-0.07772746,215,H16
>CY196539,l2,10,0.99692196,-0.07840008,215,H16
>CY196547,l2,10,0.9966669,-0.08157843,215,H16
>CY196555,l2,10,0.99682754,-0.07959208,215,H16
>CY196563,l2,10,0.99687475,-0.07899808,215,H16
>CY196571,l2,10,0.663141,-0.7484945,215,H16
>CY196579,l2,10,0.996997,-0.07744025,215,H16
>CY196587,l2,10,0.9968901,-0.07880427,215,H16
>CY196595,l2,10,0.66332847,-0.7483283,215,H16
>CY195628,l2,10,0.7184632,0.69556504,238,H13
>CY196603,l2,10,0.9969762,-0.0777078,215,H16
>CY196611,l2,10,0.71694696,0.6971278,238,H13
>CY195671,l2,10,0.8004535,-0.599395,215,H16
>CY195679,l2,10,0.8005502,-0.5992656,215,H16
>CY195687,l2,10,0.83286136,-0.55348164,215,H16
>CY195695,l2,10,0.83269024,-0.553739,215,H16
>CY195703,l2,10,0.8336319,-0.5523204,215,H16
>CY195711,l2,10,0.8004636,-0.59938127,215,H16
>CY195785,l2,10,0.8004652,-0.5993792,215,H16
>CY196748,l2,10,0.8004624,-0.5993829,215,H16
>CY196756,l2,10,0.8004631,-0.59938204,215,H16
>CY196764,l2,10,0.8257328,-0.56406134,215,H16
>CY196772,l2,10,0.83154756,-0.5554534,215,H16
>CY196780,l2,10,0.8314673,-0.55557376,215,H16
>CY196788,l2,10,0.83199,-0.5547905,215,H16
>CY196796,l2,10,0.824951,-0.56520426,215,H16
>CY195793,l2,10,0.8278505,-0.56094885,215,H16
>CY196804,l2,10,0.9962572,-0.08643907,215,H16
>CY196812,l2,10,0.8248422,-0.5653631,215,H16
>CY239288,l2,10,0.9949724,-0.10014954,215,H16
>CY239296,l2,10,0.9948555,-0.10130404,215,H16
>CY213711,l2,10,0.99497384,-0.100134775,215,H16
>CY213719,l2,10,0.99497044,-0.10016945,215,H16
>CY213751,l2,10,0.9948733,-0.101129666,215,H16
>CY213759,l2,10,0.99490154,-0.100851096,215,H16
