accession,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
>CY066966,0.2137163,-0.109255545,0.085755296,0.28501973,0.11140291,0.006423422,0.052237112,0.10778286,0.14237776,0.21833688,0.38028157,0.11600432,0.19451655,0.02088391,0.10379594,0.01223024,0.15556493,0.08646294,0.12745349,0.0907199,0.06539372,0.25424695,0.04542444,0.50755966,0.06414115,0.17680423,0.12015355,0.19695912,0.24298573,0.13927174
>CY066974,0.2460636,-0.0808931,0.1546676,0.27732164,0.1586023,0.10428024,0.14279862,0.14885285,0.17313732,0.21902421,0.35206255,0.22399752,0.16884218,0.10555004,0.08676282,0.06529828,0.1653859,0.120303,0.069470294,0.12929547,0.02791432,0.21030392,0.12785056,0.37189975,0.07788127,0.20410529,0.08837926,0.19613425,0.2786204,0.12379974
>CY066982,0.31745696,-0.00430624,0.1663113,0.21737242,0.19171944,0.13609928,0.13985328,0.15810014,0.14456868,0.21015391,0.31103018,0.20853585,0.17895438,0.16388449,0.13467549,0.121792704,0.16879505,0.15529492,0.08721483,0.15252894,0.10425507,0.17856564,0.12554407,0.27885675,0.115737334,0.17880331,0.16089246,0.21524873,0.24436004,0.17395376
>CY067038,0.24607033,-0.08091306,0.15468763,0.2773008,0.15860291,0.104423426,0.14293449,0.14885262,0.17315316,0.21911016,0.35205376,0.22412695,0.16876687,0.10564041,0.086657725,0.06518113,0.16530576,0.12032627,0.06930897,0.12934436,0.027740275,0.21028234,0.12788312,0.37178138,0.07780395,0.20412642,0.08826978,0.19609693,0.2787358,0.123708025
>CY067046,0.2142693,-0.1086311,0.08667437,0.28392807,0.11177361,0.007129949,0.05300621,0.10842242,0.14198513,0.21792158,0.38023356,0.11730913,0.19484504,0.021192664,0.103620194,0.014285455,0.15601574,0.0870314,0.12692149,0.09064647,0.066487625,0.2548962,0.047153898,0.5068239,0.06439061,0.17672332,0.12155882,0.19697845,0.24195972,0.13957395
>CY067054,0.31725648,-0.004654884,0.1662237,0.2177035,0.19135875,0.13609473,0.14018455,0.15839423,0.1447318,0.2102906,0.31128427,0.2088625,0.17912346,0.16352428,0.13431719,0.12147573,0.1684393,0.15543428,0.08705454,0.15219234,0.10389754,0.17858346,0.1258768,0.2791844,0.11539064,0.17885283,0.16052926,0.21520616,0.24461812,0.17359267
>CY067062,0.2460506,-0.080930345,0.15462814,0.27731833,0.15857372,0.104247525,0.1427735,0.14883389,0.17313544,0.21906719,0.3520789,0.22396031,0.16885073,0.105503626,0.086752325,0.06528214,0.16536282,0.12028274,0.06950054,0.12927747,0.02788913,0.2103652,0.12780865,0.37196884,0.07786203,0.20410556,0.08837868,0.19613679,0.27861652,0.12377194
>CY176577,0.30255878,0.07855996,0.2226259,0.23880054,0.21886472,0.13775046,0.15163517,0.19595635,0.16052523,0.1519427,0.26361024,0.19219144,0.1662249,0.18220381,0.17392528,0.17877087,0.17091484,0.1717667,0.17834157,0.19460875,0.1783841,-0.06650833,0.17686577,-0.05795302,0.22983654,0.17046233,0.17672059,0.13217282,0.1715171,0.17271428
>CY176585,0.30490834,0.08319432,0.22284058,0.23515722,0.21694,0.1391386,0.15095031,0.19408295,0.16583835,0.15278758,0.26164645,0.1906611,0.16698693,0.1869756,0.17577241,0.17724036,0.16993843,0.17194267,0.17636672,0.19198859,0.17812252,-0.057642378,0.17793807,-0.056252517,0.2244211,0.16996974,0.1806897,0.13846663,0.17104919,0.17562944
>CY176593,0.30487305,0.08301468,0.22283798,0.23531812,0.21696015,0.1390347,0.1510133,0.19417691,0.16558091,0.1528277,0.26169446,0.19072731,0.16692455,0.18678968,0.17573743,0.17724486,0.16990905,0.17189391,0.17638274,0.19213419,0.17813995,-0.05774852,0.17795056,-0.05617485,0.22450769,0.1700168,0.18060398,0.1383623,0.17112745,0.17561314
