accession,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
>CY066966,-0.78465146,-0.46820247,-0.08409856,0.0640604,-0.04847699,-0.022723151,0.37847444,0.025807334,-0.06040326,0.003000788,-0.014320495,-0.022843055,-0.000668039,-0.0030201268,-0.0015010508,0.012433737,-0.009460655,-0.017587246,0.0068209195,-0.009048094,-0.015152847,-0.0013823949,0.016675163,0.0038250447,-0.0033052634,-0.03558013,-0.01577537,-0.0011767996,-0.0003685056,-0.0052378606
>CY066974,-0.79219425,-0.4612478,-0.07971723,0.05766244,-0.04343309,-0.012210617,0.37700304,0.02215727,-0.05556419,0.0056298827,-0.0016567507,-0.0060752574,0.0037306468,-0.004786071,-0.008218118,0.0068835416,-0.0052974615,-0.005660844,0.0070478315,-0.004451306,-0.0063584982,0.009092213,0.011377642,0.008234218,0.0022491342,-0.030757604,-0.014445768,-0.0063174013,-0.012537086,-0.0149646485
>CY066982,-0.7937373,-0.4565037,-0.08563238,0.068128936,-0.041861888,-0.009707835,0.37535983,0.028227672,-0.050398707,-0.0024322122,-0.0029520805,-0.016944285,-0.005338989,-0.015845783,-0.0012367744,0.006161727,-0.0056569837,-0.024710087,0.008202262,-0.013410234,0.0042052586,-0.004793589,0.016008459,0.007373622,0.0010810203,-0.035405733,-0.016835077,0.0070150835,0.005610939,-0.0072054705
>CY067038,-0.79481924,-0.4513758,-0.07717753,0.05939903,-0.049474373,-0.011125108,0.38264155,0.021116497,-0.056070026,0.005762847,-0.00948359,-0.0057826117,-0.0008945503,-0.008593129,-0.006982056,0.008377297,-0.008403183,0.0015305389,0.0038140349,-0.0037197226,0.0014412736,0.006777912,0.008643201,0.008520637,0.0028649347,-0.0309913,-0.018023778,-0.012264698,-0.011745639,-0.015267856
>CY067046,-0.78223157,-0.47158626,-0.083922856,0.064597,-0.048754603,-0.021255666,0.37916502,0.02703484,-0.062150117,0.004849589,-0.013365726,-0.020302618,0.0011236058,-0.00481842,0.0017253998,0.013214617,-0.011467169,-0.013657827,0.007070089,-0.007827194,-0.012889518,-0.00063941575,0.017232036,0.0006354832,-0.0063199825,-0.03501778,-0.015495106,-0.006820883,0.0022469535,-0.0069712363
>CY067054,-0.7898493,-0.45703727,-0.08818582,0.06624739,-0.043086473,-0.010438961,0.3825696,0.028720185,-0.05085663,-0.000524645,-0.001485033,-0.012995499,-0.0024619196,-0.012530162,-0.0040373537,0.008995375,-0.0039854646,-0.018356014,0.011809428,-0.01319332,0.00579247,-0.004760154,0.011821404,0.011285856,0.00262733,-0.03432413,-0.02379758,0.008279004,0.008666946,-0.0061065876
>CY067062,-0.788253,-0.45910847,-0.0825515,0.05824859,-0.043250125,-0.0108123915,0.38478184,0.028251404,-0.059560876,0.0066239424,-0.010569685,-0.017032728,0.0013862045,-0.011061327,-0.0035359224,0.009704226,-0.014535413,-0.013497233,0.0097541325,-0.009668125,-0.002642918,0.000518791,0.012928462,0.0133111905,-0.0026214304,-0.036248185,-0.010345738,-0.004661307,-0.013073751,-0.006920863
>CY176577,-0.8215103,-0.46563333,-0.11019015,-0.010954577,-0.028065298,-0.022186112,0.28143522,0.023965582,-0.05675208,-0.0011547804,-0.0004831387,-0.03695187,-0.0015231522,0.013168161,0.013384993,0.027031356,-0.0253559,0.0024635359,0.014833106,0.010448385,0.017758254,0.01288781,-0.023462072,0.0369713,0.016864948,0.052657925,0.0030729447,0.004909202,0.011251378,0.052123312
>CY176585,-0.81521344,-0.4843374,-0.09904452,-0.013426081,-0.038122777,-0.0077596796,0.27519682,0.017530458,-0.05094405,0.0072673857,-0.0050705583,-0.039691813,0.0069587496,0.005720023,-0.005469687,0.008181421,-0.02150414,-0.0045780027,0.024265245,0.0039037229,0.018075502,0.0006844284,-0.012630427,0.013370691,0.010591236,0.057533994,0.004470738,0.008866783,0.037754796,0.046622187
>CY176593,-0.8230829,-0.47819534,-0.08688307,-0.00045586927,-0.034902096,-0.0025796655,0.2688945,0.011804114,-0.04996163,0.009069875,-0.0029530462,-0.031314638,0.0014693887,0.005301045,-0.00018881136,-0.00081875414,-0.013672461,0.0038990148,0.021470128,0.00042844057,0.010930703,0.0023870456,-0.015795588,0.01010271,0.014288,0.059904996,0.01559697,0.016252968,0.037625335,0.04681673
