accession,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
>CY066966,-0.011427664,-0.0068189013,-0.0012248115,0.00093297573,-0.00070601894,-0.00033094,0.005512102,0.00037585804,-0.00087971316,4.370348e-05,-0.0002085637,-0.0003326863,-9.729321e-06,-4.3985132e-05,-2.1861306e-05,0.00018108495,-0.00013778498,-0.0002561407,9.933988e-05,-0.00013177645,-0.00022068608,-2.01332e-05,0.00024285709,5.5707955e-05,-4.813786e-05,-0.00051818904,-0.0002297525,-1.7138911e-05,-5.366916e-06,-7.628421e-05
>CY066974,-0.011465014,-0.006675399,-0.0011537058,0.0008345184,-0.0006285844,-0.00017671789,0.005456168,0.0003206706,-0.0008041515,8.1478356e-05,-2.3977287e-05,-8.792403e-05,5.3991705e-05,-6.926631e-05,-0.00011893653,9.96219e-05,-7.66674e-05,-8.192644e-05,0.00010199959,-6.442143e-05,-9.202323e-05,0.00013158684,0.00016466268,0.00011916954,3.2550546e-05,-0.00044513875,-0.00020906606,-9.1428454e-05,-0.00018144271,-0.00021657554
>CY066982,-0.011484868,-0.0066053146,-0.0012390454,0.0009857819,-0.00060571457,-0.00014046612,0.0054312153,0.00040843623,-0.00072923687,-3.5192545e-05,-4.2714702e-05,-0.0002451729,-7.725174e-05,-0.00022927827,-1.7895329e-05,8.915622e-05,-8.1852915e-05,-0.00035753904,0.00011868145,-0.00019403745,6.0847386e-05,-6.936015e-05,0.00023163209,0.000106691565,1.5641668e-05,-0.00051229814,-0.00024359273,0.00010150374,8.118668e-05,-0.00010425852
>CY067038,-0.01144357,-0.0064987745,-0.0011111791,0.00085520954,-0.0007123173,-0.000160176,0.005509159,0.00030402903,-0.00080727955,8.2971754e-05,-0.0001365419,-8.3256324e-05,-1.2879469e-05,-0.00012372131,-0.00010052556,0.00012061382,-0.00012098653,2.2036244e-05,5.4913336e-05,-5.3555457e-05,2.0751027e-05,9.758636e-05,0.00012444223,0.0001226776,4.1248477e-05,-0.00044620348,-0.000259501,-0.00017658346,-0.00016911021,-0.00021982205
>CY067046,-0.011361142,-0.0068493253,-0.0012188967,0.0009382078,-0.0007081125,-0.0003087176,0.005506998,0.0003926544,-0.00090266916,7.04355e-05,-0.00019412399,-0.0002948755,1.6319265e-05,-6.9982794e-05,2.505973e-05,0.00019192928,-0.00016654932,-0.00019836647,0.00010268607,-0.000113682276,-0.00018720754,-9.286883e-06,0.00025027833,9.229767e-06,-9.179151e-05,-0.00050859875,-0.00022505113,-9.90666e-05,3.2634784e-05,-0.000101250334
>CY067054,-0.011490535,-0.006648867,-0.0012829058,0.00096375094,-0.0006268115,-0.00015186347,0.0055655297,0.00041781427,-0.00073984993,-7.632408e-06,-2.1603899e-05,-0.00018905537,-3.5815407e-05,-0.00018228574,-5.8734437e-05,0.00013086252,-5.7979567e-05,-0.00026703882,0.0001718007,-0.0001919332,8.426745e-05,-6.924957e-05,0.00017197491,0.00016418389,3.8221755e-05,-0.0004993391,-0.00034620138,0.000120440935,0.00012608462,-8.883715e-05
>CY067062,-0.011518912,-0.006709052,-0.001206343,0.00085119926,-0.00063202344,-0.00015800382,0.0056229006,0.0004128439,-0.000870376,9.679711e-05,-0.0001544571,-0.00024890294,2.0256906e-05,-0.00016164157,-5.16712e-05,0.00014180996,-0.00021240914,-0.000197238,0.00014253925,-0.0001412824,-3.8621532e-05,7.5812054e-06,0.00018892641,0.0001945193,-3.830753e-05,-0.0005297026,-0.00015118452,-6.811669e-05,-0.00019104955,-0.00010113607
>CY176577,-0.011218572,-0.006358704,-0.0015047604,-0.00014959606,-0.00038326063,-0.00030297428,0.0038432886,0.00032727479,-0.0007750083,-1.576972e-05,-6.597758e-06,-0.00050461595,-2.0800217e-05,0.00017982484,0.00018278591,0.0003691411,-0.00034626102,3.364213e-05,0.00020256138,0.0001426835,0.00024250732,0.00017599636,-0.00032039883,0.0005048813,0.0002303083,0.0007190984,4.1964235e-05,6.704022e-05,0.00015364919,0.0007117977
>CY176585,-0.011297485,-0.0067121005,-0.0013725902,-0.00018606287,-0.00052831747,-0.000107536085,0.0038137645,0.00024294261,-0.0007059987,0.000100713725,-7.0269394e-05,-0.0005500617,9.6436546e-05,7.9269885e-05,-7.580064e-05,0.00011338071,-0.00029801115,-6.34434e-05,0.0003362754,5.4099022e-05,0.000250496,9.485025e-06,-0.00017503645,0.00018529526,0.00014677669,0.00079732423,6.19569e-05,0.00012287869,0.0005232179,0.000646105
>CY176593,-0.011288501,-0.006558402,-0.0011915927,-6.252202e-06,-0.00047867882,-3.5379857e-05,0.0036878614,0.00016189225,-0.00068521884,0.00012439243,-4.0500738e-05,-0.00042947716,2.0152522e-05,7.2703304e-05,-2.5895292e-06,-1.1229132e-05,-0.00018751645,5.3474603e-05,0.00029446068,5.87602e-06,0.00014991351,3.2738095e-05,-0.00021663494,0.00013855766,0.0001959585,0.0008215911,0.0002139109,0.00022290785,0.00051602774,0.0006420868
